Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,14.27571728,2.717656631,2.701549836,3.063960169,9.559296653,10.00683995,9.483963926,9.285154368,8.927932891,9.258118367,9.507433901,9.507433905,9.507433902,9.507433902,9.507433902,,
Africa Western and Central,AFW,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,4.518579929,3.760257293,3.372697532,3.372697532,3.372697532,,
Albania,ALB,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.581147177,7.581147177,4.642834014,4.642834014,5.902943815,8.072768794,1.843789302,2.013605501,5.119036911,7.70330249,7.610966163,12.30733149,7.801053849,6.434800295,8.795619682,16.98425068,20.2122671,18.95074935,14.08801133,14.36151942,6.555943839,10.54919472,17.09504633,5.636489284,6.628266269,5.804435386,4.468150738,4.881038212,4.880979561,,
Andorra,AND,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.6338477,37.78255069,37.87354514,37.82861312,35.92971301,35.91946218,36.63153879,36.63153879,,
Argentina,ARG,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.86999967,24.86999967,27.92053016,27.92053016,29.62835419,27.20051284,28.56355064,30.98321441,30.44332121,28.10712334,28.5957381,26.98261036,26.00064759,26.00064759,25.18973818,25.86335142,26.76937326,26.88490827,26.4253711,25.97003274,26.68927477,26.7739815,26.62255139,26.88200125,25.7959423,25.66345429,27.27015854,27.68397935,27.41630987,,
Armenia,ARM,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.82423314,28.82423314,28.82423314,28.82423314,28.82423314,20.1993381,26.36174497,18.2095414,9.446084814,7.620859753,9.526266368,9.956361795,7.752729385,7.547890572,4.076012707,3.913082193,3.904431887,3.912039669,3.914715187,4.509566552,4.508784504,4.509303142,4.509532732,4.509440543,4.509795589,4.509795589,4.615646735,4.836925414,4.836925414,,
American Samoa,ASM,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
